TABLE=034 | AREA=Xã Xuân Đông | SECTION=agricultural | SEGMENTS=1
P=1107 | X=0128.210-0170.350 | Y=0219.630-0228.950 | >1.000m.
P=1107 | X=0128.210-0351.850 | Y=0235.270-0246.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1107 | X=0327.720-0394.760 | Y=0254.910-0264.230 | Cầu Suối Sách
P=1107 | X=0249.460-0384.470 | Y=0264.550-0275.790 | Giáp trạm xăng (gần Trường
P=1107 | X=0128.210-0198.400 | Y=0270.310-0281.550 | Đường tỉnh 765
P=1107 | X=0106.130-0111.730 | Y=0272.190-0281.510 | 8
P=1107 | X=0447.290-0463.930 | Y=0272.190-0281.510 | 530
P=1107 | X=0505.390-0522.030 | Y=0272.190-0281.510 | 400
P=1107 | X=0249.460-0310.500 | Y=0276.070-0287.310 | dầu Đồng Nai
P=1107 | X=0327.720-0377.270 | Y=0277.950-0287.270 | Nguyễn Bá
P=1107 | X=0327.720-0354.360 | Y=0289.500-0298.820 | Ngọc)
P=1107 | X=0128.210-0395.750 | Y=0305.380-0316.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1107 | X=0128.210-0380.620 | Y=0316.900-0328.140 | 765 đoạn từ Giáp trạm xăng dầu Đồng Nai đến Cầu Suối
P=1107 | X=0128.210-0396.220 | Y=0328.420-0339.660 | Sách (gần Trường Nguyễn Bá Ngọc) có hiện trạng là đường
P=1107 | X=0128.210-0231.320 | Y=0339.700-0350.940 | nhựa, bê tông xi măng:
P=1107 | X=0106.130-0111.730 | Y=0341.820-0351.140 | 9
P=1107 | X=0447.290-0463.930 | Y=0341.820-0351.140 | 380
P=1107 | X=0505.390-0522.030 | Y=0341.820-0351.140 | 250
P=1107 | X=0128.210-0359.290 | Y=0357.220-0368.460 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1107 | X=0128.210-0405.400 | Y=0374.760-0386.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1107 | X=0128.210-0395.750 | Y=0392.520-0403.760 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1107 | X=0128.210-0380.620 | Y=0404.040-0415.280 | 765 đoạn từ Giáp trạm xăng dầu Đồng Nai đến Cầu Suối
P=1107 | X=0128.210-0396.220 | Y=0415.560-0426.800 | Sách (gần Trường Nguyễn Bá Ngọc) có hiện trạng là đường
P=1107 | X=0128.210-0231.320 | Y=0427.080-0438.320 | nhựa, bê tông xi măng:
P=1107 | X=0103.490-0114.610 | Y=0443.600-0452.920 | 10
P=1107 | X=0447.290-0463.930 | Y=0443.600-0452.920 | 310
P=1107 | X=0505.390-0522.030 | Y=0443.600-0452.920 | 200
P=1107 | X=0128.210-0359.760 | Y=0444.600-0455.840 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1107 | X=0128.210-0381.520 | Y=0462.140-0473.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1107 | X=0128.210-0223.180 | Y=0473.660-0484.900 | >500m đến ≤1.000m.
P=1107 | X=0128.210-0351.380 | Y=0491.180-0502.420 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1107 | X=0128.210-0395.750 | Y=0508.940-0520.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1107 | X=0128.210-0380.620 | Y=0520.220-0531.460 | 765 đoạn từ Giáp trạm xăng dầu Đồng Nai đến Cầu Suối
P=1107 | X=0128.210-0396.220 | Y=0531.740-0542.980 | Sách (gần Trường Nguyễn Bá Ngọc) có hiện trạng là đường
P=1107 | X=0128.210-0231.320 | Y=0543.290-0554.530 | nhựa, bê tông xi măng:
P=1107 | X=0103.490-0114.610 | Y=0551.170-0560.490 | 11
P=1107 | X=0447.290-0463.930 | Y=0551.170-0560.490 | 220
P=1107 | X=0505.390-0522.030 | Y=0551.170-0560.490 | 140
P=1107 | X=0128.210-0369.320 | Y=0560.810-0572.050 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1107 | X=0128.210-0170.350 | Y=0574.210-0583.530 | >1.000m.
P=1107 | X=0128.210-0351.850 | Y=0589.850-0601.090 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1107 | X=0128.210-0401.740 | Y=0607.610-0618.850 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1107 | X=0128.210-0401.980 | Y=0619.150-0630.390 | ra Đường tỉnh 765 đoạn từ Giáp trạm xăng dầu Đồng Nai đến
P=1107 | X=0128.210-0396.700 | Y=0630.670-0641.910 | Cầu Suối Sách (gần Trường Nguyễn Bá Ngọc) có hiện trạng
P=1107 | X=0128.210-0274.540 | Y=0642.190-0653.430 | là đường nhựa, bê tông xi măng:
P=1107 | X=0103.490-0114.610 | Y=0644.310-0653.630 | 12
P=1107 | X=0447.290-0463.930 | Y=0644.310-0653.630 | 380
P=1107 | X=0505.390-0522.030 | Y=0644.310-0653.630 | 250
P=1107 | X=0128.210-0359.320 | Y=0659.710-0670.950 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1107 | X=0128.210-0405.400 | Y=0677.230-0688.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1107 | X=0128.210-0401.740 | Y=0694.750-0705.990 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1107 | X=0103.490-0114.610 | Y=0702.420-0711.740 | 13
P=1107 | X=0447.290-0463.930 | Y=0702.420-0711.740 | 310
P=1107 | X=0505.390-0522.030 | Y=0702.420-0711.740 | 200
P=1107 | X=0128.210-0401.980 | Y=0706.290-0717.530 | ra Đường tỉnh 765 đoạn từ Giáp trạm xăng dầu Đồng Nai đến
P=1108 | X=0128.210-0396.700 | Y=0072.500-0083.740 | Cầu Suối Sách (gần Trường Nguyễn Bá Ngọc) có hiện trạng
P=1108 | X=0128.210-0274.540 | Y=0084.020-0095.260 | là đường nhựa, bê tông xi măng:
P=1108 | X=0128.210-0359.760 | Y=0101.540-0112.780 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1108 | X=0128.210-0381.520 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1108 | X=0128.210-0223.180 | Y=0130.610-0141.850 | >500m đến ≤1.000m.
P=1108 | X=0128.210-0351.380 | Y=0148.130-0159.370 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1108 | X=0128.210-0401.740 | Y=0165.650-0176.890 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1108 | X=0128.210-0401.980 | Y=0177.170-0188.410 | ra Đường tỉnh 765 đoạn từ Giáp trạm xăng dầu Đồng Nai đến
P=1108 | X=0128.210-0396.700 | Y=0188.690-0199.930 | Cầu Suối Sách (gần Trường Nguyễn Bá Ngọc) có hiện trạng
P=1108 | X=0128.210-0274.540 | Y=0200.230-0211.470 | là đường nhựa, bê tông xi măng:
P=1108 | X=0103.490-0114.610 | Y=0208.110-0217.430 | 14
P=1108 | X=0447.290-0463.930 | Y=0208.110-0217.430 | 220
P=1108 | X=0505.390-0522.030 | Y=0208.110-0217.430 | 140
P=1108 | X=0128.210-0369.320 | Y=0217.750-0228.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1108 | X=0128.210-0170.350 | Y=0231.150-0240.470 | >1.000m.
P=1108 | X=0128.210-0351.870 | Y=0246.790-0258.030 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1108 | X=0249.460-0316.480 | Y=0266.430-0275.750 | Cầu Suối Sách
P=1108 | X=0249.460-0306.210 | Y=0276.070-0287.310 | (gần Trường
P=1108 | X=0128.210-0198.400 | Y=0281.860-0293.100 | Đường tỉnh 765
P=1108 | X=0103.490-0114.610 | Y=0283.740-0293.060 | 15
P=1108 | X=0327.720-0389.180 | Y=0283.740-0293.060 | Cầu Suối Lức
P=1108 | X=0447.290-0463.930 | Y=0283.740-0293.060 | 530
P=1108 | X=0505.390-0522.030 | Y=0283.740-0293.060 | 400
P=1108 | X=0249.460-0298.990 | Y=0289.500-0298.820 | Nguyễn Bá
P=1108 | X=0249.460-0276.100 | Y=0301.020-0310.340 | Ngọc)
P=1108 | X=0128.210-0395.750 | Y=0316.900-0328.140 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1108 | X=0128.210-0392.780 | Y=0328.420-0339.660 | 765 đoạn từ Cầu Suối Sách (gần Trường Nguyễn Bá Ngọc)
P=1108 | X=0128.210-0388.040 | Y=0339.700-0350.940 | đến Cầu Suối Lức có hiện trạng là đường nhựa, bê tông xi
P=1108 | X=0128.210-0156.210 | Y=0351.220-0362.460 | măng:
P=1108 | X=0103.490-0114.610 | Y=0353.340-0362.660 | 16
P=1108 | X=0447.290-0463.930 | Y=0353.340-0362.660 | 380
P=1108 | X=0505.390-0522.030 | Y=0353.340-0362.660 | 250
P=1108 | X=0128.210-0359.290 | Y=0368.760-0380.000 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1108 | X=0128.210-0405.400 | Y=0386.280-0397.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1108 | X=0128.210-0395.750 | Y=0404.040-0415.280 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1108 | X=0128.210-0392.780 | Y=0415.560-0426.800 | 765 đoạn từ Cầu Suối Sách (gần Trường Nguyễn Bá Ngọc)
P=1108 | X=0128.210-0388.040 | Y=0427.080-0438.320 | đến Cầu Suối Lức có hiện trạng là đường nhựa, bê tông xi
P=1108 | X=0128.210-0156.210 | Y=0438.600-0449.840 | măng:
P=1108 | X=0103.490-0114.610 | Y=0455.140-0464.460 | 17
P=1108 | X=0447.290-0463.930 | Y=0455.140-0464.460 | 310
P=1108 | X=0505.390-0522.030 | Y=0455.140-0464.460 | 200
P=1108 | X=0128.210-0359.760 | Y=0456.140-0467.380 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1108 | X=0128.210-0381.520 | Y=0473.660-0484.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1108 | X=0128.210-0223.180 | Y=0485.180-0496.420 | >500m đến ≤1.000m.
P=1108 | X=0128.210-0351.380 | Y=0502.460-0513.700 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1108 | X=0128.210-0395.750 | Y=0520.220-0531.460 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1108 | X=0128.210-0392.780 | Y=0531.740-0542.980 | 765 đoạn từ Cầu Suối Sách (gần Trường Nguyễn Bá Ngọc)
P=1108 | X=0128.210-0388.040 | Y=0543.290-0554.530 | đến Cầu Suối Lức có hiện trạng là đường nhựa, bê tông xi
P=1108 | X=0128.210-0156.210 | Y=0554.810-0566.050 | măng:
P=1108 | X=0103.490-0114.610 | Y=0562.690-0572.010 | 18
P=1108 | X=0447.290-0463.930 | Y=0562.690-0572.010 | 220
P=1108 | X=0505.390-0522.030 | Y=0562.690-0572.010 | 140
P=1108 | X=0128.210-0369.320 | Y=0572.330-0583.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1108 | X=0128.210-0170.350 | Y=0585.730-0595.050 | >1.000m.
P=1108 | X=0128.210-0351.880 | Y=0601.370-0612.610 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1108 | X=0128.210-0401.740 | Y=0619.150-0630.390 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1108 | X=0128.210-0376.070 | Y=0630.670-0641.910 | ra Đường tỉnh 765 đoạn từ Cầu Suối Sách (gần Trường
P=1108 | X=0128.210-0394.780 | Y=0642.190-0653.430 | Nguyễn Bá Ngọc) đến Cầu Suối Lức có hiện trạng là đường
P=1108 | X=0128.210-0231.320 | Y=0653.710-0664.950 | nhựa, bê tông xi măng:
P=1108 | X=0103.490-0114.610 | Y=0655.830-0665.150 | 19
P=1108 | X=0447.290-0463.930 | Y=0655.830-0665.150 | 380
P=1108 | X=0505.390-0522.030 | Y=0655.830-0665.150 | 250
P=1108 | X=0128.210-0359.320 | Y=0671.230-0682.470 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1108 | X=0128.210-0405.400 | Y=0688.510-0699.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1108 | X=0128.210-0401.740 | Y=0706.290-0717.530 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1108 | X=0103.490-0114.610 | Y=0708.180-0717.500 | 20
P=1108 | X=0447.290-0463.930 | Y=0708.180-0717.500 | 310
P=1108 | X=0505.390-0522.030 | Y=0708.180-0717.500 | 200
P=1109 | X=0128.210-0376.070 | Y=0072.500-0083.740 | ra Đường tỉnh 765 đoạn từ Cầu Suối Sách (gần Trường
P=1109 | X=0128.210-0394.780 | Y=0084.020-0095.260 | Nguyễn Bá Ngọc) đến Cầu Suối Lức có hiện trạng là đường
P=1109 | X=0128.210-0231.350 | Y=0095.540-0106.780 | nhựa, bê tông xi măng:
P=1109 | X=0128.210-0359.760 | Y=0113.060-0124.300 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1109 | X=0128.210-0381.520 | Y=0130.610-0141.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1109 | X=0128.210-0223.180 | Y=0142.130-0153.370 | >500m đến ≤1.000m.
P=1109 | X=0128.210-0351.380 | Y=0159.410-0170.650 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1109 | X=0128.210-0401.740 | Y=0177.170-0188.410 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1109 | X=0128.210-0376.070 | Y=0188.690-0199.930 | ra Đường tỉnh 765 đoạn từ Cầu Suối Sách (gần Trường
P=1109 | X=0128.210-0394.780 | Y=0200.230-0211.470 | Nguyễn Bá Ngọc) đến Cầu Suối Lức có hiện trạng là đường
P=1109 | X=0128.210-0231.320 | Y=0211.750-0222.990 | nhựa, bê tông xi măng:
P=1109 | X=0103.490-0114.610 | Y=0219.630-0228.950 | 21
P=1109 | X=0447.290-0463.930 | Y=0219.630-0228.950 | 220
P=1109 | X=0505.390-0522.030 | Y=0219.630-0228.950 | 140
P=1109 | X=0128.210-0369.320 | Y=0229.270-0240.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1109 | X=0128.210-0170.350 | Y=0242.670-0251.990 | >1.000m.
P=1109 | X=0128.210-0351.850 | Y=0258.310-0269.550 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1109 | X=0327.720-0385.660 | Y=0276.070-0287.310 | Giáp Trường
P=1109 | X=0128.210-0198.400 | Y=0287.620-0298.860 | Đường tỉnh 765
P=1109 | X=0103.490-0114.610 | Y=0289.500-0298.820 | 22
P=1109 | X=0249.460-0310.920 | Y=0289.500-0298.820 | Cầu Suối Lức
P=1109 | X=0327.720-0397.900 | Y=0289.500-0298.820 | Tiểu học Võ Thị
P=1109 | X=0447.290-0463.930 | Y=0289.500-0298.820 | 530
P=1109 | X=0505.390-0522.030 | Y=0289.500-0298.820 | 400
P=1109 | X=0327.720-0345.560 | Y=0301.020-0310.340 | Sáu
P=1109 | X=0128.210-0395.750 | Y=0316.900-0328.140 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1109 | X=0128.210-0398.860 | Y=0328.420-0339.660 | 765 đoạn từ Cầu Suối Lức đến Giáp Trường Tiểu học Võ Thị
P=1109 | X=0128.210-0355.690 | Y=0339.700-0350.940 | Sáu có hiện trạng là đường nhựa, bê tông xi măng:
P=1109 | X=0103.490-0114.610 | Y=0347.580-0356.900 | 23
P=1109 | X=0447.290-0463.930 | Y=0347.580-0356.900 | 380
P=1109 | X=0505.390-0522.030 | Y=0347.580-0356.900 | 250
P=1109 | X=0128.210-0359.290 | Y=0357.220-0368.460 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1109 | X=0128.210-0405.400 | Y=0374.760-0386.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1109 | X=0128.210-0395.750 | Y=0392.520-0403.760 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1109 | X=0128.210-0398.860 | Y=0404.040-0415.280 | 765 đoạn từ Cầu Suối Lức đến Giáp Trường Tiểu học Võ Thị
P=1109 | X=0128.210-0355.720 | Y=0415.560-0426.800 | Sáu có hiện trạng là đường nhựa, bê tông xi măng:
P=1109 | X=0128.210-0359.760 | Y=0433.080-0444.320 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1109 | X=0103.490-0114.610 | Y=0437.840-0447.160 | 24
P=1109 | X=0447.290-0463.930 | Y=0437.840-0447.160 | 310
P=1109 | X=0505.390-0522.030 | Y=0437.840-0447.160 | 200
P=1109 | X=0128.210-0381.520 | Y=0450.620-0461.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1109 | X=0128.210-0223.180 | Y=0462.140-0473.380 | >500m đến ≤1.000m.
P=1109 | X=0128.210-0351.380 | Y=0479.660-0490.900 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1109 | X=0128.210-0395.750 | Y=0497.420-0508.660 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1109 | X=0128.210-0398.860 | Y=0508.940-0520.180 | 765 đoạn từ Cầu Suối Lức đến Giáp Trường Tiểu học Võ Thị
P=1109 | X=0128.210-0355.690 | Y=0520.220-0531.460 | Sáu có hiện trạng là đường nhựa, bê tông xi măng:
P=1109 | X=0103.490-0114.610 | Y=0533.860-0543.180 | 25
P=1109 | X=0447.290-0463.930 | Y=0533.860-0543.180 | 220
P=1109 | X=0505.390-0522.030 | Y=0533.860-0543.180 | 140
P=1109 | X=0128.210-0369.320 | Y=0537.770-0549.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1109 | X=0128.210-0170.350 | Y=0551.170-0560.490 | >1.000m.
P=1109 | X=0128.210-0351.850 | Y=0566.810-0578.050 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1109 | X=0128.210-0401.740 | Y=0584.570-0595.810 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1109 | X=0128.210-0391.190 | Y=0596.090-0607.330 | ra Đường tỉnh 765 đoạn từ Cầu Suối Lức đến Giáp Trường
P=1109 | X=0128.210-0397.880 | Y=0607.610-0618.850 | Tiểu học Võ Thị Sáu có hiện trạng là đường nhựa, bê tông xi
P=1109 | X=0128.210-0156.210 | Y=0619.150-0630.390 | măng:
P=1109 | X=0103.490-0114.610 | Y=0621.270-0630.590 | 26
P=1109 | X=0447.290-0463.930 | Y=0621.270-0630.590 | 380
P=1109 | X=0505.390-0522.030 | Y=0621.270-0630.590 | 250
P=1109 | X=0128.210-0359.290 | Y=0636.670-0647.910 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1109 | X=0128.210-0405.400 | Y=0654.190-0665.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1109 | X=0128.210-0401.740 | Y=0671.950-0683.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1109 | X=0128.210-0391.190 | Y=0683.470-0694.710 | ra Đường tỉnh 765 đoạn từ Cầu Suối Lức đến Giáp Trường
P=1109 | X=0103.490-0114.610 | Y=0691.110-0700.430 | 27
P=1109 | X=0447.290-0463.930 | Y=0691.110-0700.430 | 310
P=1109 | X=0505.390-0522.030 | Y=0691.110-0700.430 | 200
P=1109 | X=0128.210-0397.880 | Y=0694.750-0705.990 | Tiểu học Võ Thị Sáu có hiện trạng là đường nhựa, bê tông xi
P=1109 | X=0128.210-0156.210 | Y=0706.290-0717.530 | măng:
P=1110 | X=0128.210-0359.760 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
