TABLE=050 | AREA=Xã Nam Cát Tiên | SECTION=agricultural | SEGMENTS=1
P=1702 | X=0114.770-0321.620 | Y=0462.860-0474.100 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1702 | X=0099.410-0346.320 | Y=0480.380-0494.460 | 6 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1702 | X=0457.850-0468.970 | Y=0485.140-0494.460 | 90
P=1702 | X=0511.150-0522.270 | Y=0485.140-0494.460 | 70
P=1702 | X=0114.770-0401.660 | Y=0497.900-0509.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1702 | X=0114.770-0175.890 | Y=0509.420-0520.660 | đến ≤1.000m.
P=1702 | X=0114.770-0337.940 | Y=0526.940-0538.180 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1702 | X=0114.770-0400.030 | Y=0544.490-0555.730 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1702 | X=0114.770-0403.430 | Y=0556.010-0567.250 | Đường 600A đoạn từ Quốc lộ 20 đến Hết ranh Ban Quản lý rừng
P=1702 | X=0114.770-0321.620 | Y=0567.530-0578.770 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1702 | X=0099.410-0105.010 | Y=0575.410-0584.730 | 7
P=1702 | X=0457.850-0468.970 | Y=0575.410-0584.730 | 55
P=1702 | X=0511.150-0522.270 | Y=0575.410-0584.730 | 50
P=1702 | X=0114.770-0400.580 | Y=0585.050-0596.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1702 | X=0114.770-0338.410 | Y=0602.570-0613.810 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1702 | X=0223.510-0309.810 | Y=0622.230-0631.550 | Hết ranh Ban Quản
P=1702 | X=0099.410-0172.620 | Y=0626.110-0637.350 | 8 Đường 600A
P=1702 | X=0310.440-0366.700 | Y=0627.990-0637.310 | Hết cầu số 5
P=1702 | X=0452.090-0468.730 | Y=0627.990-0637.310 | 200
P=1702 | X=0505.390-0522.030 | Y=0627.990-0637.310 | 170
P=1702 | X=0223.510-0254.820 | Y=0633.750-0643.070 | lý rừng
P=1702 | X=0114.770-0389.170 | Y=0649.630-0660.870 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 600A
P=1702 | X=0114.770-0385.900 | Y=0661.150-0672.390 | đoạn từ Hết ranh Ban Quản lý rừng đến Hết cầu số 5 có hiện
P=1702 | X=0114.770-0286.550 | Y=0672.670-0683.910 | trạng là đường nhựa, bê tông xi măng:
P=1702 | X=0099.410-0105.010 | Y=0680.550-0689.870 | 9
P=1702 | X=0452.090-0468.730 | Y=0680.550-0689.870 | 130
P=1702 | X=0505.390-0522.030 | Y=0680.550-0689.870 | 100
P=1702 | X=0114.770-0345.860 | Y=0690.190-0701.430 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1702 | X=0114.770-0391.960 | Y=0707.730-0718.970 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1703 | X=0114.770-0389.170 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 600A
P=1703 | X=0114.770-0385.900 | Y=0090.020-0101.260 | đoạn từ Hết ranh Ban Quản lý rừng đến Hết cầu số 5 có hiện
P=1703 | X=0114.770-0286.550 | Y=0101.540-0112.780 | trạng là đường nhựa, bê tông xi măng:
P=1703 | X=0096.770-0346.320 | Y=0119.090-0133.170 | 10 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1703 | X=0457.850-0468.970 | Y=0123.850-0133.170 | 90
P=1703 | X=0511.150-0522.270 | Y=0123.850-0133.170 | 70
P=1703 | X=0114.770-0401.660 | Y=0136.610-0147.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1703 | X=0114.770-0175.890 | Y=0148.130-0159.370 | đến ≤1.000m.
P=1703 | X=0114.770-0337.940 | Y=0165.410-0176.650 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1703 | X=0114.770-0389.170 | Y=0183.170-0194.410 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 600A
P=1703 | X=0114.770-0385.900 | Y=0194.690-0205.930 | đoạn từ Hết ranh Ban Quản lý rừng đến Hết cầu số 5 có hiện
P=1703 | X=0114.770-0286.550 | Y=0206.230-0217.470 | trạng là đường nhựa, bê tông xi măng:
P=1703 | X=0096.770-0107.890 | Y=0214.110-0223.430 | 11
P=1703 | X=0457.850-0468.970 | Y=0214.110-0223.430 | 55
P=1703 | X=0511.150-0522.270 | Y=0214.110-0223.430 | 50
P=1703 | X=0114.770-0400.580 | Y=0223.750-0234.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1703 | X=0114.770-0338.410 | Y=0241.270-0252.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1703 | X=0114.770-0400.030 | Y=0259.030-0270.270 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1703 | X=0114.770-0402.710 | Y=0270.550-0281.790 | Đường 600A đoạn từ Hết ranh Ban Quản lý rừng đến Hết cầu số
P=1703 | X=0114.770-0330.010 | Y=0282.100-0293.340 | 5 có hiện trạng là đường nhựa, bê tông xi măng:
P=1703 | X=0096.770-0107.890 | Y=0289.980-0299.300 | 12
P=1703 | X=0452.090-0468.730 | Y=0289.980-0299.300 | 130
P=1703 | X=0505.390-0522.030 | Y=0289.980-0299.300 | 100
P=1703 | X=0114.770-0345.850 | Y=0299.620-0310.860 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1703 | X=0114.770-0391.960 | Y=0317.140-0328.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1703 | X=0114.770-0400.030 | Y=0334.900-0346.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1703 | X=0114.770-0402.710 | Y=0346.420-0357.660 | Đường 600A đoạn từ Hết ranh Ban Quản lý rừng đến Hết cầu số
P=1703 | X=0114.770-0330.010 | Y=0357.700-0368.940 | 5 có hiện trạng là đường nhựa, bê tông xi măng:
P=1703 | X=0096.770-0346.320 | Y=0375.240-0389.560 | 13 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1703 | X=0457.850-0468.970 | Y=0380.240-0389.560 | 90
P=1703 | X=0511.150-0522.270 | Y=0380.240-0389.560 | 70
P=1703 | X=0114.770-0401.660 | Y=0392.760-0404.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1703 | X=0114.770-0175.890 | Y=0404.280-0415.520 | đến ≤1.000m.
P=1703 | X=0114.770-0337.940 | Y=0421.800-0433.040 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1703 | X=0114.770-0400.030 | Y=0439.560-0450.800 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1703 | X=0114.770-0402.710 | Y=0451.100-0462.340 | Đường 600A đoạn từ Hết ranh Ban Quản lý rừng đến Hết cầu số
P=1703 | X=0114.770-0330.010 | Y=0462.620-0473.860 | 5 có hiện trạng là đường nhựa, bê tông xi măng:
P=1703 | X=0096.770-0107.890 | Y=0470.500-0479.820 | 14
P=1703 | X=0457.850-0468.970 | Y=0470.500-0479.820 | 55
P=1703 | X=0511.150-0522.270 | Y=0470.500-0479.820 | 50
P=1703 | X=0114.770-0400.580 | Y=0480.140-0491.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1703 | X=0114.770-0338.410 | Y=0497.660-0508.900 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1703 | X=0096.770-0172.620 | Y=0515.420-0526.660 | 15 Đường 600A
P=1703 | X=0310.440-0397.900 | Y=0515.420-0526.660 | Ngã ba đường ấp 2
P=1703 | X=0223.510-0279.780 | Y=0517.300-0526.620 | Hết cầu số 5
P=1703 | X=0452.090-0468.730 | Y=0517.300-0526.620 | 200
P=1703 | X=0505.390-0522.030 | Y=0517.300-0526.620 | 170
P=1703 | X=0114.770-0389.170 | Y=0533.210-0544.450 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 600A
P=1703 | X=0114.770-0389.010 | Y=0544.490-0555.730 | đoạn từ Hết cầu số 5 đến Ngã ba đường ấp 2 có hiện trạng là
P=1703 | X=0114.770-0250.540 | Y=0556.010-0567.250 | đường nhựa, bê tông xi măng:
P=1703 | X=0096.770-0107.890 | Y=0563.890-0573.210 | 16
P=1703 | X=0452.090-0468.730 | Y=0563.890-0573.210 | 130
P=1703 | X=0505.390-0522.030 | Y=0563.890-0573.210 | 100
P=1703 | X=0114.770-0345.850 | Y=0573.530-0584.770 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1703 | X=0114.770-0391.960 | Y=0591.050-0602.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1703 | X=0114.770-0389.170 | Y=0608.810-0620.050 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 600A
P=1703 | X=0114.770-0389.010 | Y=0620.350-0631.590 | đoạn từ Hết cầu số 5 đến Ngã ba đường ấp 2 có hiện trạng là
P=1703 | X=0114.770-0250.540 | Y=0631.870-0643.110 | đường nhựa, bê tông xi măng:
P=1703 | X=0096.770-0346.320 | Y=0649.390-0663.470 | 17 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1703 | X=0457.850-0468.970 | Y=0654.150-0663.470 | 90
P=1703 | X=0511.150-0522.270 | Y=0654.150-0663.470 | 70
P=1703 | X=0114.770-0401.660 | Y=0666.910-0678.150 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1703 | X=0114.770-0175.890 | Y=0678.430-0689.670 | đến ≤1.000m.
P=1703 | X=0114.770-0337.940 | Y=0695.950-0707.190 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1704 | X=0114.770-0389.170 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 600A
P=1704 | X=0114.770-0389.010 | Y=0090.020-0101.260 | đoạn từ Hết cầu số 5 đến Ngã ba đường ấp 2 có hiện trạng là
P=1704 | X=0114.770-0250.540 | Y=0101.540-0112.780 | đường nhựa, bê tông xi măng:
P=1704 | X=0096.770-0107.890 | Y=0109.420-0118.740 | 18
P=1704 | X=0457.850-0468.970 | Y=0109.420-0118.740 | 55
P=1704 | X=0511.150-0522.270 | Y=0109.420-0118.740 | 50
P=1704 | X=0114.770-0400.580 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1704 | X=0114.770-0338.410 | Y=0136.610-0147.850 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1704 | X=0114.770-0400.030 | Y=0154.370-0165.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1704 | X=0114.770-0391.650 | Y=0165.650-0176.890 | Đường 600A đoạn từ Hết cầu số 5 đến Ngã ba đường ấp 2 có
P=1704 | X=0114.770-0308.380 | Y=0177.170-0188.410 | hiện trạng là đường nhựa, bê tông xi măng:
P=1704 | X=0096.770-0107.890 | Y=0185.050-0194.370 | 19
P=1704 | X=0452.090-0468.730 | Y=0185.050-0194.370 | 130
P=1704 | X=0505.390-0522.030 | Y=0185.050-0194.370 | 100
P=1704 | X=0114.770-0345.850 | Y=0194.690-0205.930 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1704 | X=0114.770-0391.960 | Y=0212.230-0223.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1704 | X=0114.770-0400.030 | Y=0229.990-0241.230 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1704 | X=0114.770-0391.650 | Y=0241.510-0252.750 | Đường 600A đoạn từ Hết cầu số 5 đến Ngã ba đường ấp 2 có
P=1704 | X=0114.770-0308.380 | Y=0253.030-0264.270 | hiện trạng là đường nhựa, bê tông xi măng:
P=1704 | X=0096.770-0346.320 | Y=0270.550-0284.630 | 20 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1704 | X=0457.850-0468.970 | Y=0275.310-0284.630 | 90
P=1704 | X=0511.150-0522.270 | Y=0275.310-0284.630 | 70
P=1704 | X=0114.770-0401.660 | Y=0288.100-0299.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1704 | X=0114.770-0175.890 | Y=0299.620-0310.860 | đến ≤1.000m.
P=1704 | X=0114.770-0337.940 | Y=0317.140-0328.380 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1704 | X=0114.770-0400.030 | Y=0334.900-0346.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1704 | X=0114.770-0391.650 | Y=0346.420-0357.660 | Đường 600A đoạn từ Hết cầu số 5 đến Ngã ba đường ấp 2 có
P=1704 | X=0114.770-0308.380 | Y=0357.700-0368.940 | hiện trạng là đường nhựa, bê tông xi măng:
P=1704 | X=0096.770-0107.890 | Y=0365.580-0374.900 | 21
P=1704 | X=0457.850-0468.970 | Y=0365.580-0374.900 | 55
P=1704 | X=0511.150-0522.270 | Y=0365.580-0374.900 | 50
P=1704 | X=0114.770-0400.580 | Y=0375.240-0386.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1704 | X=0114.770-0338.410 | Y=0392.760-0404.000 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1704 | X=0223.510-0302.600 | Y=0410.520-0421.760 | Ngã ba đường ấp
P=1704 | X=0096.770-0172.620 | Y=0416.280-0427.520 | 22 Đường 600A
P=1704 | X=0310.440-0378.200 | Y=0416.280-0427.520 | Sông Đồng Nai
P=1704 | X=0452.090-0468.730 | Y=0418.160-0427.480 | 200
P=1704 | X=0505.390-0522.030 | Y=0418.160-0427.480 | 170
P=1704 | X=0223.510-0229.110 | Y=0423.920-0433.240 | 2
P=1704 | X=0114.770-0389.170 | Y=0439.800-0451.040 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 600A
P=1704 | X=0114.770-0401.010 | Y=0451.340-0462.580 | đoạn từ Ngã ba đường ấp 2 đến Sông Đồng Nai có hiện trạng là
P=1704 | X=0114.770-0250.540 | Y=0462.860-0474.100 | đường nhựa, bê tông xi măng:
P=1704 | X=0096.770-0107.890 | Y=0470.740-0480.060 | 23
P=1704 | X=0452.090-0468.730 | Y=0470.740-0480.060 | 130
P=1704 | X=0505.390-0522.030 | Y=0470.740-0480.060 | 100
P=1704 | X=0114.770-0345.850 | Y=0480.380-0491.620 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1704 | X=0114.770-0391.960 | Y=0497.900-0509.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1704 | X=0114.770-0389.170 | Y=0515.660-0526.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 600A
P=1704 | X=0114.770-0401.010 | Y=0527.180-0538.420 | đoạn từ Ngã ba đường ấp 2 đến Sông Đồng Nai có hiện trạng là
P=1704 | X=0114.770-0250.540 | Y=0538.490-0549.730 | đường nhựa, bê tông xi măng:
P=1704 | X=0096.770-0346.320 | Y=0556.010-0570.330 | 24 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1704 | X=0457.850-0468.970 | Y=0561.010-0570.330 | 90
P=1704 | X=0511.150-0522.270 | Y=0561.010-0570.330 | 70
P=1704 | X=0114.770-0401.660 | Y=0573.530-0584.770 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1704 | X=0114.770-0175.890 | Y=0585.050-0596.290 | đến ≤1.000m.
P=1704 | X=0114.770-0337.940 | Y=0602.570-0613.810 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1704 | X=0114.770-0389.170 | Y=0620.350-0631.590 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 600A
P=1704 | X=0114.770-0401.010 | Y=0631.870-0643.110 | đoạn từ Ngã ba đường ấp 2 đến Sông Đồng Nai có hiện trạng là
P=1704 | X=0114.770-0250.540 | Y=0643.390-0654.630 | đường nhựa, bê tông xi măng:
P=1704 | X=0096.770-0107.890 | Y=0651.270-0660.590 | 25
P=1704 | X=0457.850-0468.970 | Y=0651.270-0660.590 | 55
P=1704 | X=0511.150-0522.270 | Y=0651.270-0660.590 | 50
P=1704 | X=0114.770-0400.580 | Y=0660.910-0672.150 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1704 | X=0114.770-0338.410 | Y=0678.430-0689.670 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1704 | X=0114.770-0400.030 | Y=0696.190-0707.430 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1704 | X=0096.770-0107.890 | Y=0703.860-0713.180 | 26
P=1704 | X=0452.090-0468.730 | Y=0703.860-0713.180 | 130
P=1704 | X=0505.390-0522.030 | Y=0703.860-0713.180 | 100
P=1704 | X=0114.770-0403.400 | Y=0707.730-0718.970 | Đường 600A đoạn từ Ngã ba đường ấp 2 đến Sông Đồng Nai có
P=1705 | X=0114.770-0308.380 | Y=0072.500-0083.740 | hiện trạng là đường nhựa, bê tông xi măng:
P=1705 | X=0114.770-0345.850 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1705 | X=0114.770-0391.970 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1705 | X=0114.770-0400.030 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1705 | X=0114.770-0403.400 | Y=0136.850-0148.090 | Đường 600A đoạn từ Ngã ba đường ấp 2 đến Sông Đồng Nai có
P=1705 | X=0114.770-0308.380 | Y=0148.370-0159.610 | hiện trạng là đường nhựa, bê tông xi măng:
P=1705 | X=0096.770-0346.320 | Y=0165.650-0179.970 | 27 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1705 | X=0457.850-0468.970 | Y=0170.650-0179.970 | 90
P=1705 | X=0511.150-0522.270 | Y=0170.650-0179.970 | 70
P=1705 | X=0114.770-0401.660 | Y=0183.170-0194.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1705 | X=0114.770-0175.890 | Y=0194.690-0205.930 | đến ≤1.000m.
P=1705 | X=0114.770-0337.940 | Y=0212.230-0223.470 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1705 | X=0114.770-0400.030 | Y=0229.990-0241.230 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1705 | X=0114.770-0403.400 | Y=0241.510-0252.750 | Đường 600A đoạn từ Ngã ba đường ấp 2 đến Sông Đồng Nai có
P=1705 | X=0114.770-0308.380 | Y=0253.030-0264.270 | hiện trạng là đường nhựa, bê tông xi măng:
P=1705 | X=0096.770-0107.890 | Y=0260.910-0270.230 | 28
P=1705 | X=0457.850-0468.970 | Y=0260.910-0270.230 | 55
P=1705 | X=0511.150-0522.270 | Y=0260.910-0270.230 | 50
P=1705 | X=0114.770-0400.580 | Y=0270.550-0281.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1705 | X=0114.770-0338.410 | Y=0288.100-0299.340 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1705 | X=0114.770-0210.620 | Y=0305.860-0317.100 | Đường Phú Lập đi xã
P=1705 | X=0310.440-0397.180 | Y=0311.620-0322.860 | Hết chợ Núi Tượng
P=1705 | X=0096.770-0107.890 | Y=0313.500-0322.820 | 29
P=1705 | X=0223.510-0291.500 | Y=0313.500-0322.820 | Ranh xã Tà Lài
P=1705 | X=0452.090-0468.730 | Y=0313.500-0322.820 | 200
P=1705 | X=0505.390-0522.030 | Y=0313.500-0322.820 | 170
P=1705 | X=0114.770-0176.740 | Y=0319.260-0328.580 | Nam Cát Tiên
P=1705 | X=0114.770-0403.180 | Y=0335.140-0346.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú Lập
P=1705 | X=0114.770-0383.740 | Y=0346.660-0357.900 | đi xã Nam Cát Tiên đoạn từ Ranh xã Tà Lài đến Hết chợ Núi
P=1705 | X=0114.770-0354.970 | Y=0357.940-0369.180 | Tượng có hiện trạng là đường nhựa, bê tông xi măng:
P=1705 | X=0096.770-0107.890 | Y=0365.820-0375.140 | 30
P=1705 | X=0452.090-0468.730 | Y=0365.820-0375.140 | 130
P=1705 | X=0505.390-0522.030 | Y=0365.820-0375.140 | 100
P=1705 | X=0114.770-0345.850 | Y=0375.480-0386.720 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1705 | X=0114.770-0391.960 | Y=0393.000-0404.240 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1705 | X=0114.770-0403.180 | Y=0410.760-0422.000 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú Lập
P=1705 | X=0114.770-0383.740 | Y=0422.280-0433.520 | đi xã Nam Cát Tiên đoạn từ Ranh xã Tà Lài đến Hết chợ Núi
P=1705 | X=0114.770-0354.970 | Y=0433.800-0445.040 | Tượng có hiện trạng là đường nhựa, bê tông xi măng:
P=1705 | X=0096.770-0346.320 | Y=0451.340-0465.420 | 31 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1705 | X=0457.850-0468.970 | Y=0456.100-0465.420 | 90
P=1705 | X=0511.150-0522.270 | Y=0456.100-0465.420 | 70
P=1705 | X=0114.770-0401.660 | Y=0468.860-0480.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1705 | X=0114.770-0175.890 | Y=0480.380-0491.620 | đến ≤1.000m.
P=1705 | X=0114.770-0337.940 | Y=0497.900-0509.140 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1705 | X=0114.770-0403.180 | Y=0515.660-0526.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú Lập
P=1705 | X=0114.770-0383.740 | Y=0527.180-0538.420 | đi xã Nam Cát Tiên đoạn từ Ranh xã Tà Lài đến Hết chợ Núi
P=1705 | X=0114.770-0355.000 | Y=0538.490-0549.730 | Tượng có hiện trạng là đường nhựa, bê tông xi măng:
P=1705 | X=0096.770-0107.890 | Y=0546.370-0555.690 | 32
P=1705 | X=0457.850-0468.970 | Y=0546.370-0555.690 | 55
P=1705 | X=0511.150-0522.270 | Y=0546.370-0555.690 | 50
